"Date/Time","Duration","Sends","Opens","Clicks","Open Rate","Click Rate","Unsubscribes","Word Count","Link Count","Date","Time","Month","Weekday"
2020-07-20 06:47:17,25.135s,87,102,6,1.1724,0.0588,0,450,21,2020-07-20,6H 47M 17S,7,2
2020-07-21 06:33:50,33.135s,74,142,22,1.9189,0.1549,0,478,21,2020-07-21,6H 33M 50S,7,3
2020-07-22 06:28:15,33.872s,78,123,41,1.5769,0.3333,0,496,21,2020-07-22,6H 28M 15S,7,4
2020-07-23 06:38:34,33.712s,82,135,7,1.6463,0.0519,0,496,24,2020-07-23,6H 38M 34S,7,5
2020-07-24 08:19:54,35.835s,83,270,15,3.253,0.0556,0,515,18,2020-07-24,8H 19M 54S,7,6
2020-07-27 06:36:25,185.091s (~3.08 minutes),437,334,109,0.7643,0.3263,0,562,27,2020-07-27,6H 36M 25S,7,2
2020-07-28 07:29:45,193.332s (~3.22 minutes),465,359,119,0.772,0.3315,2,468,23,2020-07-28,7H 29M 45S,7,3
2020-07-29 08:26:19,427.153s (~7.12 minutes),477,402,102,0.8428,0.2537,2,478,29,2020-07-29,8H 26M 19S,7,4
2020-07-30 08:07:54,204.144s (~3.4 minutes),482,498,77,1.0332,0.1546,1,575,25,2020-07-30,8H 7M 54S,7,5
2020-07-31 09:54:25,189.327s (~3.16 minutes),498,408,91,0.8193,0.223,3,516,27,2020-07-31,9H 54M 25S,7,6
2020-08-03 08:37:54,175.459s (~2.92 minutes),516,376,124,0.7287,0.3298,1,453,26,2020-08-03,8H 37M 54S,8,2
2020-08-04 07:32:07,228.192s (~3.8 minutes),514,432,36,0.8405,0.0833,0,503,34,2020-08-04,7H 32M 7S,8,3
2020-08-05 07:22:51,223.345s (~3.72 minutes),518,386,121,0.7452,0.3135,0,521,34,2020-08-05,7H 22M 51S,8,4
2020-08-06 08:20:45,335.145s (~5.59 minutes),643,617,92,0.9596,0.1491,2,567,31,2020-08-06,8H 20M 45S,8,5
2020-08-07 07:38:58,289.529s (~4.83 minutes),661,500,146,0.7564,0.292,3,575,36,2020-08-07,7H 38M 58S,8,6
2020-08-10 07:46:43,356.075s (~5.93 minutes),679,477,83,0.7025,0.174,0,467,35,2020-08-10,7H 46M 43S,8,2
2020-08-11 08:17:49,302.938s (~5.05 minutes),669,555,79,0.8296,0.1423,0,519,32,2020-08-11,8H 17M 49S,8,3
2020-08-12 08:32:02,349.861s (~5.83 minutes),689,499,75,0.7242,0.1503,0,526,28,2020-08-12,8H 32M 2S,8,4
2020-08-13 08:35:49,316.575s (~5.28 minutes),691,543,84,0.7858,0.1547,1,529,30,2020-08-13,8H 35M 49S,8,5
2020-08-14 09:03:22,343.838s (~5.73 minutes),691,515,31,0.7453,0.0602,1,502,25,2020-08-14,9H 3M 22S,8,6
2020-08-17 07:52:03,331.899s (~5.53 minutes),695,521,70,0.7496,0.1344,1,527,32,2020-08-17,7H 52M 3S,8,2
2020-08-18 07:42:51,411.146s (~6.85 minutes),699,657,41,0.9399,0.0624,0,563,27,2020-08-18,7H 42M 51S,8,3
2020-08-19 08:13:09,343.889s (~5.73 minutes),702,569,64,0.8105,0.1125,1,496,23,2020-08-19,8H 13M 9S,8,4
